      831324139      0.3674   1516.9760      2.2518
      883206595      0.3705   1416.5721      2.2385
      935321167      0.3736   1202.4114      2.2394
      987521582      0.3768   1158.3996      2.2046
     1000000000      0.3775   1235.5522      2.2390
              0      0.3775   1235.5522      2.2390
       52186562      0.3807   1341.2035      2.2311
      104505494      0.3838   1216.3420      2.2480
      156716273      0.3869   1424.2511      2.2414
      208837788      0.3901   1312.9420      2.2618
      260946963      0.3932   1089.6630      2.1781
      313043593      0.3963    990.0853      2.2747
      365168799      0.3995   1085.3848      2.3169
      417213591      0.4026    834.7338      2.1503
      469280345      0.4057    965.2387      2.1433
      521324982      0.4089    938.5333      2.2456
      573334013      0.4120    833.9246      2.2266
      625294746      0.4151    902.4416      2.2410
      677248412      0.4183    773.1710      2.1785
      729168558      0.4214    658.0190      2.2156
      781197608      0.4245    877.7753      2.3105
      833152011      0.4277    809.8642      2.1722
      885059635      0.4308    814.0808      2.1299
      936982138      0.4339    989.5430      2.2667
      989024868      0.4371   1007.8579      2.3082
     1000000000      0.4377    566.9742      2.1239
              0      0.4377    566.9742      2.1239
       51974011      0.4408   1046.3446      2.3005
      104058040      0.4440    764.3408      2.2716
      156139399      0.4471    879.9235      2.1986
      208235598      0.4502    738.4696      2.1808
      260375966      0.4534    351.3382      2.1404
      312373211      0.4565    926.3330      2.2236
      364347824      0.4596    762.3275      2.1831
      416236459      0.4628    827.5057      2.2353
      468269621      0.4659    842.8279      2.1594
      520181863      0.4690    824.8644      2.1704
      572081788      0.4722    843.1590      2.1926
      624177362      0.4753   1137.9420      2.2277
      676165624      0.4784   1080.4500      2.2281
      728376087      0.4816    979.5058      2.3025
      780298636      0.4847    976.5290      2.2134
      832367847      0.4878   1108.7989      2.1902
      884268347      0.4910    800.8631      2.2089
      936270505      0.4941    948.1228      2.1876
      988284143      0.4972    864.4750      2.1933
     1000000000      0.4980    935.9266      2.2421
              0      0.4980    935.9266      2.2421
       51893773      0.5011   1136.2803      2.3260
      103967130      0.5042    908.3659      2.1598
      155954868      0.5073    853.2395      2.2931
      207881075      0.5105    845.2780      2.2928
